,roles,companies,locations,experience,skills,Dates,PresentDate,salary
2740,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Patna,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2741,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Thane,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2742,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Chandigarh,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2743,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Noida,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2744,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Nagpur,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2745,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Lucknow,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2746,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Jaipur,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2747,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Ahmedabad,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2748,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Vadodara,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2749,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Surat,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2750,Warehouse Executive,Central Security,Kolkata(Kolkata Dakshin),0-5 Yrs,WarehouseLogistics,10 Days Ago,2024-11-24,1.44-1.8 Lacs PA
2751,Pharmacist- Ahmedabad,1mg,Ahmedabad,1-3 Yrs,PharmacyStock AuditInventory ManagementDispensingManagementAuditingStockInventory,8 Days Ago,2024-11-24,1.5-2 Lacs PA
2752,OT Technician at Phulwari Sharif - Patna,Indira Ivf Hospital,Patna(Phulwari Sharif),1-5 Yrs,OTOperation TheatreTheatreOperations,10 Days Ago,2024-11-24,1.5-3.5 Lacs PA
2753,Lab technician/Andrologies- Phulwari Sharif Patna,Indira Ivf Hospital,Patna(Phulwari Sharif),1-5 Yrs,lab technicianLabMLT,10 Days Ago,2024-11-24,1-3 Lacs PA
2754,Power Bi Developer,Zydus Lifesciences,Ahmedabad,4-9 Yrs,Power BiPower Bi ReportsDax QueriesPower Bi DashboardsData VisualizationAzure Analysis ServicesDaxDashboard Development,25 Days Ago,2024-11-24,10-20 Lacs PA
2755,Medical Officer at Phulwari Sharif - Patna,Indira Ivf Hospital,Patna(Phulwari Sharif),1-4 Yrs,BHMSBAMSMedicalBac,10 Days Ago,2024-11-24,Not disclosed
2756,Staff Nurse - Phulwari Sharif,Indira Ivf Hospital,Patna(Phulwari Sharif),1-6 Yrs,Patient CareNursingHospitalRotational ShiftsGNMNABH,10 Days Ago,2024-11-24,1.25-4 Lacs PA
2757,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Kolkata,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2758,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Kochi,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2759,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Chennai,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
2760,"Ent Surgeon, Otolaryngologist",Hitkari Hospital & Surgical Centre,Balotra,0-5 Yrs,OTOLARYNGOLOGISTENTENT SURGEONTHROATEARNOSEAudiologyEye,20 Days Ago,2024-11-24,15-25 Lacs PA
2761,Legal Counsel,Dr Reddys,Hyderabad,3-6 Yrs,Contract draftingLegal complianceLegal HeadLegal CounselM&ABusiness strategyManagementLicensing,30+ Days Ago,2024-11-24,Not disclosed
2762,Consultant Gynecologist - Assam (Silchar/Jorhat/Tinsukia),Indira Ivf Hospital,"Silchar, Tinsukia, Jorhat",0-5 Yrs,GynecologygynecologistObstetricsConsulting,17 Days Ago,2024-11-24,15-22.5 Lacs PA
2763,Quality and Continuous Improvement Analyst,Dr Reddys,Hyderabad,7-9 Yrs,Relationship managementRCARoot cause analysisManager Quality AssuranceTalent acquisitionQuality auditManager Quality ControlContinuous improvement,30+ Days Ago,2024-11-24,Not disclosed
2764,Global Associate Lead HEOR - Health Economics,Novo Nordisk,Bengaluru,8-13 Yrs,Global marketingEconomicsMedical affairsSimulationPharmaProject managementHealthcareGLP,30+ Days Ago,2024-11-24,Not disclosed
2765,Sales Representative-Cardiac Surgery,Medtronic,Hyderabad,7-9 Yrs,Direct salesMarket developmentSales strategyPenetrationSales RepresentativeHealthcareMarket researchcardiac surgery,30+ Days Ago,2024-11-24,Not disclosed
2766,Software technologist II - Test,Philips,Bengaluru,6-7 Yrs,Computer scienceVMwareAutomation testingDicomPowershellFunctional testingDiversity and InclusionTest design,30+ Days Ago,2024-11-24,Not disclosed
2767,Senior Software Technologist I / II,Philips,Bengaluru,7-18 Yrs,C++Software designCodingDiversity and InclusionAgileSoftware development life cycleHealthcareScrum,30+ Days Ago,2024-11-24,Not disclosed
2768,Sr Data Scientist (individual contributor),Zydus Lifesciences,Ahmedabad,5-10 Yrs,Data ScienceAI/ML modellingArtificial IntelligenceAI/ML developmentMachine LearningSRDataIntelligence,25 Days Ago,2024-11-24,Not disclosed
2769,Senior IT Technologist - SAP FICO,Medtronic,Hyderabad,8-9 Yrs,Supply chainComputer scienceBusiness processSAPSAP implementationConsultingHealthcareEDI,30+ Days Ago,2024-11-24,Not disclosed
2770,MSAT Associate,Dr Reddys,Hyderabad,6-8 Yrs,Data analysisDownstream processingData collectionManager TechnologyData analyticsCostProcess equipmentTechnology,30+ Days Ago,2024-11-24,Not disclosed
2771,Pharmacist,Manipal Hospitals,Mysuru,1-6 Yrs,PharmacyMedicinePharmaceuticsDispensing,19 Days Ago,2024-11-24,Not disclosed
2772,GMP coordinator,Info Edge,Ahmedabad,4-9 Yrs,ProductionCapaChange ControlSOPInvestigationDeviationGM ComplianceGMP,11 Days Ago,2024-11-24,3-8 Lacs PA
2773,Opening - Pharmacovigilance Auditor - Quality Assurance,Veeda CR,Ahmedabad,1-3 Yrs,PharmacovigilanceQuality AssurancePMPTMF auditPSURsopICSR reviewDSUR,11 Days Ago,2024-11-24,2.75-4.5 Lacs PA
2774,Production Specialist,Dr Reddys,Hyderabad,2-6 Yrs,Mammalian cell cultureProduction operationsDownstream processingGMPChromatographyCell cultureCellProcessing,30+ Days Ago,2024-11-24,Not disclosed
2775,Production Specialist,Dr Reddys,Hyderabad,2-5 Yrs,Mammalian cell cultureAnalyticalProduction handlingCell cultureAnalyticsProductionHandlingCell,30+ Days Ago,2024-11-24,Not disclosed
2776,Medical Representative - Product Specialist,Dabur,"Patna, Chapra",2-5 Yrs,Medical RepPharma SellingMRSales And MarketingField SalesField MarketingPharmaceutical SalesMarketing,11 Days Ago,2024-11-24,3.5-6 Lacs PA
2777,Corporate Compliance Manager,Dr Reddys,Hyderabad,6-10 Yrs,TrainingRoot cause analysisComplianceSenior managementAudit complianceLegal managementLitigationLegal,30+ Days Ago,2024-11-24,Not disclosed
2778,Medical Advisor - Condition Management,Dr Reddys,Hyderabad,2-5 Yrs,Medical affairsCluster HeadProject managementPharmaConsultingHealthcareResearchStakeholder management,30+ Days Ago,2024-11-24,Not disclosed
2779,Lead Medical Operations,Dr Reddys,Hyderabad,8-13 Yrs,CROHead Business DevelopmentOperations ManagerGCPSafety managementPharmaClinical trialsClinical research,30+ Days Ago,2024-11-24,Not disclosed
2780,Team Lead Quality Assurance,Dr Reddys,Hyderabad,7-12 Yrs,Quality LeadProject developmentManager Quality AssuranceManagement systemsQuality Assurance LeadQMSSystems AuditScheduling,30+ Days Ago,2024-11-24,Not disclosed
2781,Regulatory Affairs Associate (GPR & Reg Ops),Dr Reddys,Hyderabad,2-6 Yrs,Regulatory Affairs AssociateMatrixComplianceAnalyticalPharmacovigilanceRegulatoryAnalyticsRegulatory affairs,30+ Days Ago,2024-11-24,Not disclosed
2782,Lead - Marketing Biologics,Dr Reddys,Hyderabad,5-9 Yrs,Product launchMarketing ManagerBrand managementPharmaMarketing campaignsMarket researchmarket dataDigital marketing,30+ Days Ago,2024-11-24,Not disclosed
2783,Senior Auditor - Internal Audit,Dr Reddys,Hyderabad,3-6 Yrs,Manager Internal AuditB2BSAPPharmaData analyticsFMCGAnalyticsMonitoring,30+ Days Ago,2024-11-24,Not disclosed
2784,Product Manager - Derma,Dr Reddys,Hyderabad,3-7 Yrs,Product managementProduct launchNetworkingDermatologyPackagingMarket researchCMEMonitoring,30+ Days Ago,2024-11-24,Not disclosed
2785,Regulatory Affairs Specialist,Dr Reddys,Hyderabad,6-10 Yrs,MatrixComplianceConflict managementAnalyticalSPCCMCPharmacovigilanceRegulatory affairs,30+ Days Ago,2024-11-24,Not disclosed
2786,Product Manager Operations - Digital CoE - DPEx,Dr Reddys,Hyderabad,3-10 Yrs,Product managementMedical devicesChange managementSales operationsProject managementProcess improvementProduct planningHealthcare,30+ Days Ago,2024-11-24,Not disclosed
2787,Area Sales Manager - Central,Thermo Fisher Scientific,Ahmedabad,8-10 Yrs,Salesproducts Salessales PlanningArea SalesQuality controlControlQualityManagement,11 Days Ago,2024-11-24,Not disclosed
2788,Lead Database Programmer,Dr Reddys,Hyderabad,3-6 Yrs,CRODTSEDCMedidata raveAnalyticalSoftware development life cycleUnit testingMacros,30+ Days Ago,2024-11-24,Not disclosed
2789,Software Engineer - Pathology Scanners (C++),Philips,Bengaluru,7-8 Yrs,Computer sciencePathologyC++Software designLinuxDiagnosticsCodingAnalytical,30+ Days Ago,2024-11-24,Not disclosed
2790,Clinical Research Associate,Dr Reddys,Hyderabad,3-7 Yrs,TrainingInterpersonal skillsComplianceGCPInvestigationClinical Research AssociateData qualitydata integrity,30+ Days Ago,2024-11-24,Not disclosed
2791,Steward,M/S Umang Cure,"Lucknow, Budheshwar",1-2 Yrs,Stewardfood safetyfood preparationbeveragekitchen managementSupport kitchen staffManagementSafety,12 Days Ago,2024-11-24,Not disclosed
2792,Global Project Manager,Cliantha Research,Ahmedabad,0-1 Yrs,BABE StudiesBABEClinical ResearchClinical OperationsGLPClinical TrialsProjectProject management,26 Days Ago,2024-11-24,1.75-2.5 Lacs PA
2793,Clinical Data Management Associate,Theia New Consultancy,Remote,2-5 Yrs,21 Cfr Part 11ADAMCDISCCRF DesignSDTMCTCAEICH-GCPMedDRA,12 Days Ago,2024-11-24,8-10 Lacs PA
2794,Nurse - Casualty / ER,Manipal Hospitals,Mysuru,1-6 Yrs,Casualty NurseEmergency NurseER NurseEmergency NursingGNMEmergencyNursingCasualty,19 Days Ago,2024-11-24,3-3.5 Lacs PA
2795,Senior Nutrition Sales Executive - Kolkata,Abbott,Kolkata,1-5 Yrs,customer segmentationConsultative salesNutritionPharmaAccount managementCustomer engagementNutrition Sales ExecutiveBrand building,30+ Days Ago,2024-11-24,Not disclosed
2796,Product Executive in Sales and Marketing,Micro Labs,Bengaluru,2-3 Yrs,customer developmentStrategy implementationconcept marketingProduct ExecutivePharma sellingPromotional strategiesMarketing strategyMonitoring,30+ Days Ago,2024-11-24,Not disclosed
2797,Revenue Assurance Audit - Associate / Senior Associate,Manipal Hospitals,Mysore/ Mysuru,3-7 Yrs,Claims Processing AuditDoctor Charge Note AuditService Charge Code AuditBilling Compliance AuditAccounting AuditBilling AuditRevenue AssuranceAssurance,19 Days Ago,2024-11-24,3-5 Lacs PA
2798,Opening For Senior Executive-IRA,Sun Pharma,Vadodara,5-10 Yrs,Regulatory AffairsRegulatory SubmissionsSeniorRegulatory ReportsRegulatorySubmission,2 Days Ago,2024-11-24,Not disclosed
2799,Costing Manager,Cliantha Research,Ahmedabad,4-7 Yrs,CostingCost AccountingCost AnalysisCost ManagementICWACostAnalysisManagement,12 Days Ago,2024-11-24,7-10 Lacs PA
2800,Walk-ins For Staff Nurse- Indira IVF Ballari,Indira Ivf Hospital,Ballari,1-5 Yrs,NursingGNMMidwiferyIvf,12 Days Ago,2024-11-24,1-3 Lacs PA
2801,Process Associate- F&A - Packaging Films Business,SRF,Gurugram,4-10 Yrs,Banking operationsBusiness Process AssociateBankingCorporatePackagingSEZOracleMonitoring,12 Days Ago,2024-11-24,Not disclosed
2802,Sr. Software Architect,Philips,Bengaluru,11-18 Yrs,C++BackendMedical devicesNetworkingCodingDiversity and InclusionCloudHealthcare,30+ Days Ago,2024-11-24,Not disclosed
2803,Key Account Manager | Diabetes Maximus,Abbott,Bengaluru,1-5 Yrs,Senior managementPharmaFinancePackagingMarket researchOperationsSalesforceSenior,30+ Days Ago,2024-11-24,Not disclosed
2804,Commercial Marketing Manager,Merck,Bengaluru,4-9 Yrs,Supply chainMarket analysisCommercial marketinganalytics reportingMarketing programsField marketingPathwayMarketing campaigns,30+ Days Ago,2024-11-24,Not disclosed
2805,Regional Sales Manager,Dr Reddys Path Labs,Hyderabad,10-15 Yrs,Product managementReport generationInterpersonal skillsPharmaRegional salesSales forecastingGeneticsCME,30+ Days Ago,2024-11-24,Not disclosed
2806,Change Management Capability Owner,Medtronic,Hyderabad,7-10 Yrs,Change managementUsageProject managementProject initiationHealthcareBusiness strategyTalent managementContinuous improvement,30+ Days Ago,2024-11-24,Not disclosed
2807,Software Technologist II,Philips,Bengaluru,5-7 Yrs,Root cause analysisC++UMLOOADDiversity and InclusionAgileHealthcareApplication development,30+ Days Ago,2024-11-24,Not disclosed
2808,IT VAL &Comp specialist,Novo Nordisk,Bengaluru,10-20 Yrs,Supply chainProduct qualitySQACompliancePharmaAgileHealthcareLife sciences,30+ Days Ago,2024-11-24,Not disclosed
2809,Senior Software Technologist - C++,Philips,Bengaluru,10-20 Yrs,Object oriented designC++CodingDebuggingHealthcareSystem designAgile methodologyMFC,30+ Days Ago,2024-11-24,Not disclosed
2810,Electrician And Technician,Veeda CR,"Mehsana, Ahmedabad",1-3 Yrs,Electrical MaintenanceUps SystemsITI ElectricalLT MotorsSwitchgearRO PlantHVAC SystemElectrical Works,14 Days Ago,2024-11-24,1-3 Lacs PA
2811,Nurse / Senior Nurse - Operation Theatre,Manipal Hospitals,Mysore/ Mysuru,1-6 Yrs,OT Scrub NurseOT NurseOperation Theatre NurseSurgical NurseOTSeniorOperationsSurgical,19 Days Ago,2024-11-24,3-4 Lacs PA
2812,Lab Technician,Orange Healthcare,Bengaluru,3-6 Yrs,Interpersonal skillsManager Quality AssuranceData managementHematologyDiagnosticsHealthcareBiochemistryManager Quality Control,15 Days Ago,2024-11-24,Not disclosed
2813,Nurse - Endoscopy / Gastrointestinal Endoscopy,Manipal Hospitals,Mysore/ Mysuru,1-6 Yrs,Endoscopy NurseendoscopyGastrointestinal NurseGastroenterology NurseGastroenterologyNursing,19 Days Ago,2024-11-24,2.75-3.5 Lacs PA
2814,Junior Lab Technician,Orange Healthcare,Bengaluru,1-3 Yrs,HematologyDiagnosticsStandard operating proceduresHealthcareBiochemistryManager Quality ControlTroubleshootingOperations,15 Days Ago,2024-11-24,Not disclosed
2815,Software Engineer I - React Native Developer,Orange Healthcare,Bengaluru,1-5 Yrs,Computer scienceArchitectureCodingJavascriptHealthcareAnimationMobile applicationsCustomer experience,15 Days Ago,2024-11-24,Not disclosed
2816,Vendor Management Lead,Dr Reddys,Hyderabad,3-6 Yrs,ProcurementVendor relationship managementData managementHR operationsContract managementProcess improvementAnalyticalRelationship building,30+ Days Ago,2024-11-24,Not disclosed
2817,Associate Inside Sales,The Orange Health,Bengaluru,0-3 Yrs,OutboundLead generationSalesNetworkingDiagnosticsHealthcareSales ExecutiveInside Sales Executive,30+ Days Ago,2024-11-24,Not disclosed
2818,Line Manager - MES,NNE,Bengaluru,7-10 Yrs,Team managementProject managementManufacturing execution systemPharmaConsultingAgileEngineering projectsIT management,30+ Days Ago,2024-11-24,Not disclosed
2819,Senior Principal Systems Architect,Medtronic,Hyderabad,16-19 Yrs,FabricationProduct managementWirelessRTOSC++Concept designProject managementSystem design,30+ Days Ago,2024-11-24,Not disclosed
2820,Lab Manager,Orange Healthcare,Hyderabad,3-10 Yrs,Process optimizationInterpersonal skillsManager Quality AssuranceDiagnosticsHealthcareWorkflowManager Quality Controlbiomedical,15 Days Ago,2024-11-24,Not disclosed
2821,Senior IT Technologist - SAP Logistics,Medtronic,Hyderabad,5-8 Yrs,SAPPharmaAnalyticalSystem integrationGTStrade compliancesap logisticsHealthcare,30+ Days Ago,2024-11-24,Not disclosed
2822,Associate Architect,Merck,Bengaluru,2-7 Yrs,remediationSAP ERPsecurity architectProject implementationCisaExternal auditIncident managementRisk management,30+ Days Ago,2024-11-24,Not disclosed
2823,Principal Statistical Data Scientist,Pfizer,Chennai,7-11 Yrs,MentorSPLPrincipalDataStatisticsMentoring,30+ Days Ago,2024-11-24,Not disclosed
2824,Radiologist,MAR Sleeva Medicity Palai,Meenachil,0-4 Yrs,molecular biologybiotechnologyx-raymammographymriradiologyusgmicrobiology,4 Days Ago,2024-11-24,Not disclosed
2825,Principal Design Quality Engineer SR,Medtronic,Hyderabad,8-12 Yrs,Process designGraphicsMedical devicesSoftware designMinitabISO 13485HealthcareProduct design,30+ Days Ago,2024-11-24,Not disclosed
2826,Sr Software Engineer,Medtronic,Hyderabad,4-12 Yrs,VXWorksMechatronicsPrototypeSurgicalCodingSignal processingHealthcareSimulink,30+ Days Ago,2024-11-24,Not disclosed
2827,Software V&V Engineer II - SR,Medtronic,Hyderabad,4-12 Yrs,Product managementRTOSC++Manager Quality AssuranceCodingSystem designHealthcareSPI,30+ Days Ago,2024-11-24,Not disclosed
2828,Software Engineer II - SR,Medtronic,Hyderabad,4-12 Yrs,RTOSComputer scienceC++Software designCommunication protocolsLinuxCodingOOAD,30+ Days Ago,2024-11-24,Not disclosed
2829,OPEX Lean Specialist,Teva Pharmaceuticals,Chandpur,5-10 Yrs,OPEXOperational ExcellenceContinuous ImprovementExcellenceOperationsLeanImprovement,5 Days Ago,2024-11-24,Not disclosed
2830,Dispatch Officer,Orange Healthcare,Bengaluru,1-4 Yrs,Customer service orientationDiagnosticsVoice supportReverse logisticsHealthcareLogistics managementLogistics operationsCustomer experience,15 Days Ago,2024-11-24,Not disclosed
2831,Senior Analyst,Merck,Bengaluru,1-3 Yrs,Interpersonal skillsClaimsChemicalTechnical servicesISOAnalyticalProcess improvementBiochemistry,30+ Days Ago,2024-11-24,Not disclosed
2832,Sr Production Executive,Lifecell,Chennai(Vandalur),1-6 Yrs,Cell CultureMammalian Cell CultureCultureCellProductionSR,22 Days Ago,2024-11-24,2.5-3.75 Lacs PA
2833,Category Manager,1mg,Gurugram,3-6 Yrs,Category ManagementOTCManagement,15 Days Ago,2024-11-24,20-27.5 Lacs PA
2834,Territory Manager,Abbott,Kochi,2-6 Yrs,Direct salesMarketing programsSales strategySales RepresentativeInchargeCustomer serviceSales processManagement,30+ Days Ago,2024-11-24,Not disclosed
2835,Senior Lab Technician,Orange Healthcare,Hyderabad,6-10 Yrs,HematologyStandard operating proceduresHealthcareWorkflowManualBiochemistryManager Quality ControlOperations,15 Days Ago,2024-11-24,Not disclosed
2836,Staff Nurse,Karunya Sugalaya Diabetes Care & Research Centre Pvt. Ltd,Kumbakonam,1-6 Yrs,opdgnmnursingpatient carehealthcareoperation theatredressingccu,30+ Days Ago,2024-11-24,Not disclosed
2837,Business Analyst,Orange Healthcare,Bengaluru,2-4 Yrs,Root cause analysisInterpersonal skillsData analysisExcelBusiness AnalystAnalyticalHealthcareCustomer experience,15 Days Ago,2024-11-24,Not disclosed
2838,Associate Clinical Specialist,Medtronic,Bengaluru,1-4 Yrs,Product portfolioManager TechnologyPresalesHealthcareMentorTalent managementIndividual Contributorbiomedical,30+ Days Ago,2024-11-24,Not disclosed
2839,Software Engineer I - Backend,Orange Healthcare,Bengaluru,1-2 Yrs,Computer scienceBackendNoSQLCodingPostgresqlMySQLWeb developmentHealthcare,15 Days Ago,2024-11-24,Not disclosed
2840,Optometrist,Centre For Sight,Vijayawada,4-5 Yrs,RefractionOptometryEyeSlit-Lamp,18 Days Ago,2024-11-24,Not disclosed
2841,MD Pathology,Orange Healthcare,Bengaluru,5-6 Yrs,PathologyInterpersonal skillsQuality standardsWeb technologiesDiagnosticsHealthcareCustomer experienceIOS,15 Days Ago,2024-11-24,Not disclosed
2842,Senior Manager - Growth and Retention,Orange Healthcare,Bengaluru,5-8 Yrs,UsageAnalyticalFocusHealthcareMedical insuranceCustomer engagementAnalyticsMonitoring,15 Days Ago,2024-11-24,Not disclosed
2843,Software Engineer II - Backend,Orange Healthcare,Bengaluru,2-3 Yrs,Computer scienceCodingPostgresqlMySQLWeb developmentPHPHealthcareOracle,15 Days Ago,2024-11-24,Not disclosed
2844,Software Developer - Fullstack,Orange Healthcare,Bengaluru,2-5 Yrs,System architectureCodingMySQLJavascriptPHPHealthcareOracleOpen source,15 Days Ago,2024-11-24,Not disclosed
2845,Quality Manager,Orange Healthcare,Bengaluru,10-15 Yrs,Manager Quality AssuranceISOAnalyticalProcess improvementQMSHealthcareManager Quality ControlContinuous improvement,15 Days Ago,2024-11-24,Not disclosed
2846,Software Engineer III- Backend,Orange Healthcare,Bengaluru,3-5 Yrs,CodingPostgresqlMySQLWeb developmentPHPHealthcareOracleSQL,15 Days Ago,2024-11-24,Not disclosed
2847,Senior Specialist,Merck,Bengaluru,4-9 Yrs,Computer scienceManager Quality AssuranceLinuxTechnical writingVisual StudioTest casesUnit testingsoftware quality,30+ Days Ago,2024-11-24,Not disclosed
2848,Software Engineer III - DevOps,Orange Healthcare,Bengaluru,3-4 Yrs,AutomationNetworkingSOAVPNInfrastructure managementMySQLDisaster recoveryHealthcare,15 Days Ago,2024-11-24,Not disclosed
2849,Senior System Engineer: Citrix Virtual Desktop,Merck,Bengaluru,4-9 Yrs,WSUSApp-VDesktop managementTechnical servicesPowershellActive directoryWindowsSCCM,30+ Days Ago,2024-11-24,Not disclosed
2850,Mobiliser,Tech Mahindra SMART Academy,Mohali,1-2 Yrs,BasicInterpersonal skillsExcelNetworkingData managementMS Office toolsHealthcarePowerpoint,16 Days Ago,2024-11-24,Not disclosed
2851,Quality Control Associate Microbiology,Dr Reddys,Hyderabad,1-4 Yrs,Water testingMicrobiologyMLTAnalyticalMicrobiological analysisGLPManager Quality ControlQuality Control Associate,30+ Days Ago,2024-11-24,Not disclosed
2852,Senior Research Associate,Lifecell,Chennai,2-6 Yrs,FormulationCosmeticsPersonal CareResearch And DevelopmentSeniorDevelopmentPersonalResearch,22 Days Ago,2024-11-24,2.25-4.5 Lacs PA
2853,Optometrist,Centre For Sight,Vadodara,4-5 Yrs,Slit LampRefractionEyeOpthalmologyOptometryLAMPOphthalmology,18 Days Ago,2024-11-24,Not disclosed
2854,Accounts And Finance Manager (CA),Torrent Power,Ahmedabad(Ambawadi),1-6 Yrs,Accounts And FinanceBudgetary ControlCost AnalysisFinance ControlCostingExpense AnalysisCost ManagementManagement Accounting,16 Days Ago,2024-11-24,8-15 Lacs PA
2855,Business Executive,Merck,Bengaluru,1-3 Yrs,SalesPharmaProduct portfolioqueryHealthcareBusiness ExecutivePortfolioPharmaceutical,16 Days Ago,2024-11-24,Not disclosed
2856,Sr. Business Consultant - HRIT,Dr Reddys,Hyderabad,5-11 Yrs,TrainingPayrolldata scienceBusiness designProject managementWorkforce planningManager TechnologyBusiness intelligence,30+ Days Ago,2024-11-24,Not disclosed
2857,Professional Sales Manager | Gennext |,Abbott,Chennai,2-7 Yrs,PharmaFinancePackagingMarket researchOperationsSalesforceManagementResearch,30+ Days Ago,2024-11-24,Not disclosed
2858,About Tech Mahindra Foundation (TMF):,Tech Mahindra SMART Academy,Kolkata,4-9 Yrs,BengaliDue diligenceSkill developmentCSRNetworkingSocial scienceProject managementEmployee engagement,16 Days Ago,2024-11-24,Not disclosed
2859,Expert SAP BPM and integration,Merck,Bengaluru,1-3 Yrs,BackendJava web servicesXMLEclipseDebuggingJavascriptJDBCSAP Basis,30+ Days Ago,2024-11-24,Not disclosed
2860,Location Manager,Tech Mahindra SMART Academy,Chennai,4-9 Yrs,Analytical skillsDue diligenceSkill developmentNetworkingEvent managementSocial scienceProject managementEmployee engagement,16 Days Ago,2024-11-24,Not disclosed
2861,Public Affairs Manager,Novo Nordisk,Bengaluru,6-7 Yrs,Senior DirectorManager Quality AssuranceStrategic partnershipsProject managementFocusCorporateHealthcareGovernment liaison,30+ Days Ago,2024-11-24,Not disclosed
2862,HL7 Integration Engineer,Philips,Bengaluru,2-6 Yrs,Technical managementFTPXMLJavascriptHealthcareHTTPJSONWindows,16 Days Ago,2024-11-24,Not disclosed
2863,Manager - Resource Mobilization,Chanre Rheumatology &amp; Immunology Centre &amp; Research,Hyderabad,10-20 Yrs,Analytical skillsCSRNetworkingResource mobilizationPublic speakingBudgetingResearchDirector General,30+ Days Ago,2024-11-24,Not disclosed
2864,Software Engineer II - HL7 Integration,Philips,Bengaluru,3-8 Yrs,switchingeigrpc++fhirbgpsqljavaorion,16 Days Ago,2024-11-24,Not disclosed
2865,Senior Technologist I - HL7 Integration,Philips,Bengaluru,5-10 Yrs,switchingeigrpfhirus healthcarebgpresearchsqlmicroservices,16 Days Ago,2024-11-24,Not disclosed
2866,Senior Manager / AGM - International Business - Pharmaceutical,Venus Remedies (VRL),"Chandigarh, Panchkula, Zirakpur",7-12 Yrs,International BusinessDistribution ManagementTender ManagementTender BusinessInternational SalesInternational MarketingDistribution DevelopmentInjectables,1 Day Ago,2024-11-24,Not disclosed
2867,Software Technologist I,Philips,Bengaluru,6-11 Yrs,C++Software development methodologiesCodingDiversity and InclusionAgileSoftware development life cycleHealthcareInstrumentation,30+ Days Ago,2024-11-24,Not disclosed
2868,Senior IT Technologist - Sharepoint & OneDrive,Medtronic,Hyderabad,4-8 Yrs,Project managementManager TechnologyHealthcareSystem designdata integrityHardwareManagementTalent management,16 Days Ago,2024-11-24,Not disclosed
2869,Associate Architect- SAP SD,Merck,Bengaluru,4-9 Yrs,ERPManaged servicesDebuggingGTSGermanSpanishEDIPerformance monitoring,30+ Days Ago,2024-11-24,Not disclosed
2870,Research Associate - Mass Spectrometry,Dr Reddys,Hyderabad,2-6 Yrs,HRMSSSRQMSProteomicsCMCAnalytical instrumentsResearch AssociateMass spectrometry,30+ Days Ago,2024-11-24,Not disclosed
2871,Unit Manager (Physio),Max Healthcare,"Noida, Ghaziabad(Vaishali)",5-8 Yrs,MPTBptPhysiotherapyUNITManagement,17 Days Ago,2024-11-24,5-6.5 Lacs PA
